The Shawshank Redemption,Danxu,5,"The Oscars were overshadowed by the rising ""Forrest Gump"". but as time goes by. the film has surpassed ""Forrest Gump"" in the hearts of more and more people. Whenever the reality makes me tired to produce a sense of powerlessness. turn to this disc. it regains strength. Without a doubt. this film ranks among the top three must-see movies for men!"
The Shawshank Redemption,Leilei,4,This review may contain spoilers. I can handle the truth.
The Shawshank Redemption,Junzhe,3.5,more like the stockholm redemption. if this movie was any shorter i wouldve turned that shit off so fast. but im glad i stayed
The Godfather I,Amy,5,I challenge Letterboxd to add a sixth star.
The Godfather I,Danxu,4.5,I'm gonna make him an offer he can't refuse.
The Godfather I,Junzhe,4,the transition between idealism to capitalism. between loyalty to family and loyalty to business. the most tragic film of a generation
The Godfather I,Luna,3.5,When I first saw it I was shocked that it was a sequel. I thought sequels where supposed to be bad.
The Godfather I,Leilei,5,It's like watching DaVinci piss over the Mona Lisa really.
The Godfather I,Lingxuan,4,"Now I know where ""The Lannisters send their regards"" got its inspiration from"
Schindler's List,Leilei,4,A red coat. That's all it is. It's used to keep warm. a shelter against the blistering cold.
Schindler's List,Junzhe,3.5,Steven Spielberg's Schindler's List is simply one of the greatest films committed to celluloid. 
Schindler's List,Amy,5,And like the red coat of the little girl. the film will never fade. only growing in distinct majesty and singular clarity.
Schindler's List,Danxu,4.5,A film where no one in the audience is allowed to remain a bystander! No one gets out unscathed!
The Lord of the Rings: The Return of the King,Lingxuan,5,This review may contain spoilers. I can handle the truth.
The Lord of the Rings: The Return of the King,Junzhe,5,Wish someone would’ve told me about these movies 20 years ago. They’re not too bad!
The Lord of the Rings: The Return of the King,Amy,4,Somebody give Sam a big ol’ smooch
The Lord of the Rings: The Return of the King,Danxu,3.5,This movie is about positive masculinity.
The Lord of the Rings: The Return of the King,Luna,5,[fleabag voice] this is a love story
The Dark Knight I,Jay,5,If you do not like this movie. I do not like you.
The Dark Knight I,Junzhe,4.5,the best superhero movie ever made. period
The Dark Knight I,Amy,4,has no right to still be this good
The Dark Knight I,Danxu,3.5,Good film. don’t get me wrong. Defiantly my favorite “superhero” film. I think it’s a bit slow. but the cinematography is really good and the soundtrack is great.
The Dark Knight I,Lingxuan,5,The transformation of two face and jokers plotting are the highlights of the film. I would normally put it a 5 star but I’m feeling more like a 4. I think it could have been told quicker.
The Dark Knight I,Gloria,4,“you know the thing about chaos? it’s fair.”
All Quiet on the Western Front,Danxu,4.5,Kept waiting for a post-credits scene teasing World War II and the rise of the Third Reich
All Quiet on the Western Front,Lingxuan,3,Intensiv. immersiv und richtig. richtig gut gespielt. Bisweilen hatte ich zwar das Gefühl. ein Best Of der wichtigsten Antikriegsfilme zu sehen. aber für deutsches Kino ist das hier erstaunlich!
